d,bd,repetitions,p_err,max_bd,device,sample_time_avg,fidelity_avg,fidelity_std,p_fail,delta_p_fail
3,1024,3,0.001,16,cpu,0.2052506311237812,1.0,0.0,0.01816390420209748,0.00172148431358108
3,1024,3,0.0012,16,cpu,0.19946173964738845,1.0,0.0,0.02091665767803442,0.001843761858913398
3,1024,3,0.0014,16,cpu,0.20366374579072,1.0,0.0,0.023745496657023742,0.0019727144273346993
3,1024,3,0.0016,16,cpu,0.20257572076320648,1.0,0.0,0.02918551878424316,0.002175157589737759
3,1024,3,0.0018,16,cpu,0.20271258180737495,1.0,0.0,0.030568715595867813,0.0022205090374842577
3,1024,3,0.002,16,cpu,0.20148251930475236,1.0,0.0,0.03459526012656319,0.002359439625118802
3,1024,3,0.003,16,cpu,0.20195883868932724,1.0,0.0,0.05263007810291971,0.0028814384749465197
3,1024,3,0.004,16,cpu,0.20226119862794875,1.0,0.0,0.0686118172505743,0.0032625542749820796
3,1024,3,0.006,16,cpu,0.20436837037205696,1.0,0.0,0.09996233292216838,0.003874620793595282
3,1024,3,0.008,16,cpu,0.20538996417522432,1.0,0.0,0.13027627090792024,0.004337621576457784
3,1024,3,0.01,16,cpu,0.20673593687415123,1.0,0.0,0.16357101438045468,0.004768892715863227
3,1024,3,0.012,16,cpu,0.2098919495522976,1.0,0.0,0.1897218022566925,0.005056372492201755
3,1024,3,0.014,16,cpu,0.20973116880655288,1.0,0.0,0.21205999763862748,0.005268935043546169
3,1024,3,0.016,16,cpu,0.21176536580324173,1.0,0.0,0.23683574394783055,0.005481416857031601
3,1024,3,0.018,16,cpu,0.21267187603116036,1.0,0.0,0.25915516922445975,0.005650184108214773
3,1024,3,0.02,16,cpu,0.21327236600518226,1.0,0.0,0.27938077783932974,0.0057876730856487035
3,1024,3,0.04,16,cpu,0.22239017976522446,1.0,0.0,0.40016570963433196,0.006318938763321791
3,1024,3,0.06,16,cpu,0.22955420750379563,1.0,0.0,0.4435545316288857,0.006406448112560803
5,1024,5,0.001,256,cpu,3.229352676045929,1.0,0.0,0.01189835266523578,0.0034784789979477107
5,1024,5,0.0012,256,cpu,3.153993121692844,1.0,0.0,0.012201861790224103,0.003497687363991503
5,1024,5,0.0014,256,cpu,3.479160658237269,1.0,0.0,0.014201134622860115,0.0030662831796012674
5,1024,5,0.0016,256,cpu,3.3088430125161867,1.0,0.0,0.018658532892825767,0.0034318510609879713
5,1024,5,0.0018,256,cpu,3.3784548002877273,1.0,0.0,0.023802932068311203,0.0038896730118568312
5,1024,5,0.002,256,cpu,3.1693542176041234,1.0,0.0,0.023741955965653212,0.0039023680107444676
5,1024,5,0.003,256,cpu,3.401366470849514,1.0,0.0,0.040217649462371,0.0032002124394055545
5,1024,5,0.004,256,cpu,3.8418822956506533,1.0,0.0,0.05762822650163575,0.006016818065348178
5,1024,5,0.006,256,cpu,3.4976650302268872,1.0,0.0,0.09841349987883635,0.007692958867848654
5,1024,5,0.008,256,cpu,3.386014681445907,1.0,0.0,0.1527080527958507,0.009157911798590629
5,1024,5,0.01,256,cpu,3.20182205027093,1.0,0.0,0.19279819695587413,0.01011675103031795
5,1024,5,0.012,256,cpu,3.3414136212724785,1.0,0.0,0.23223507767675514,0.010890204481905336
5,1024,5,0.014,256,cpu,2.996593108775897,1.0,0.0,0.2719092616967713,0.011429397266109864
5,1024,5,0.016,256,cpu,2.8451739932088236,1.0,0.0,0.31245098267334104,0.011848369860607888
5,1024,5,0.018,256,cpu,2.6034140999186124,1.0,0.0,0.34438026463343385,0.012226930806772729
5,1024,5,0.02,256,cpu,2.366993152406195,1.0,0.0,0.36463860404551146,0.012405496475544675
5,1024,5,0.04,256,cpu,1.420116988708521,1.0,0.0,0.48584118429252476,0.012908037813682105
5,1024,5,0.06,256,cpu,1.0606137364470418,1.0,0.0,0.49931858312662847,0.01017811644319766
