d,bd,repetitions,p_err,max_bd,device,sample_time_avg,fidelity_avg,fidelity_std,p_fail,delta_p_fail
3,1024,1,0.008,16,cpu,0.048550293105840636,1.0,0.0,0.002590463325249804,0.0006565639825421099
3,1024,1,0.009,16,cpu,0.048674658441543533,1.0,0.0,0.004540738679361097,0.0008689340988512354
3,1024,1,0.01,16,cpu,0.04883736367821689,1.0,0.0,0.005642313446433907,0.000970442826946841
3,1024,1,0.0125,16,cpu,0.048987059032916974,1.0,0.0,0.00986838463808533,0.0012838386217271045
3,1024,1,0.015,16,cpu,0.04925303705930705,1.0,0.0,0.017135170272174316,0.0016752346316276333
3,1024,1,0.0175,16,cpu,0.049063129371404605,1.0,0.0,0.026747058092503252,0.0020865325766293748
3,1024,1,0.02,16,cpu,0.049145977377891496,1.0,0.0,0.03708325178489093,0.004890177230874204
3,1024,1,0.0225,16,cpu,0.049235223305225326,1.0,0.0,0.05851157150298408,0.0030250661702214063
3,1024,1,0.025,16,cpu,0.049136650049686384,1.0,0.0,0.07586147558950354,0.003424593681924909
3,1024,1,0.0275,16,cpu,0.04920581200718875,1.0,0.0,0.09773147457850959,0.003831346550692241
3,1024,1,0.03,16,cpu,0.04878512220382686,1.0,0.0,0.12351860898150595,0.00851595082373445
3,1024,1,0.04,16,cpu,0.04928911371231075,1.0,0.0,0.22904209318387256,0.010826370616783848
3,1024,1,0.05,16,cpu,0.04938524732589717,1.0,0.0,0.31570261838941094,0.011976437295068698
3,1024,1,0.06,16,cpu,0.0492087093353271,1.0,0.0,0.37495980174654264,0.012476552246888983
3,1024,1,0.07,16,cpu,0.04897311260700221,1.0,0.0,0.4208403024578244,0.01275156993238008
3,1024,1,0.08,16,cpu,0.04923769659996028,1.0,0.0,0.4603201351647203,0.012876580674706928
3,1024,1,0.09,16,cpu,0.0494704595804214,1.0,0.0,0.4823978417025243,0.0129015853319151
3,1024,1,0.1,16,cpu,0.04874292054176326,1.0,0.0,0.525178061622973,0.012876560588707453
5,1024,1,0.008,128,cpu,1.0137845740437508,1.0,0.0,0.0006396550957445145,0.0003198358953935558
5,1024,1,0.009,128,cpu,1.014301808267832,1.0,0.0,0.0010005557088067754,0.0004062417591216697
5,1024,1,0.01,128,cpu,1.0055396083295345,1.0,0.0,0.0017154478002227283,0.0005316407864048775
5,1024,1,0.0125,128,cpu,1.006311220794916,1.0,0.0,0.004249958294221428,0.0008424746880092669
5,1024,1,0.015,128,cpu,1.0011903926551342,1.0,0.0,0.00877145407637529,0.0012118612313610395
5,1024,1,0.0175,128,cpu,,,0.0,0.02169384784524514,0.0018835605949857753
5,1024,1,0.02,128,cpu,1.037538826751709,1.0,0.0,0.03814278343198277,0.004951041294340958
5,1024,1,0.0225,128,cpu,0.9867123087406159,1.0,0.0,0.06023033238996666,0.003068915043992128
5,1024,1,0.025,128,cpu,1.0106748515188695,1.0,0.0,0.08958126528348383,0.00368135569620294
5,1024,1,0.0275,128,cpu,1.0160792083919048,1.0,0.0,0.12945125331165944,0.004325122148357924
5,1024,1,0.03,128,cpu,1.0049949912071228,1.0,0.0,0.16738446552656583,0.00962611849443043
5,1024,1,0.04,128,cpu,1.0004672916412354,1.0,0.0,0.33520491745459424,0.012176392703026062
5,1024,1,0.05,128,cpu,1.0118177727937698,1.0,0.0,0.4403427400694829,0.012801537675014074
5,1024,1,0.06,128,cpu,1.0236420865297318,1.0,0.0,0.4682211221629403,0.012876567887289858
5,1024,1,0.07,128,cpu,1.0043300191640854,1.0,0.0,0.48899865292311506,0.01290157880659526
5,1024,1,0.08,128,cpu,0.988261752986908,1.0,0.0,0.48499816167403087,0.012901582406477707
5,1024,1,0.09,128,cpu,1.0174395206928253,1.0,0.0,0.5125015311685251,0.01290158002965447
5,1024,1,0.1,128,cpu,1.022478245830536,1.0,0.0,0.5059007220761456,0.012901575840068347
7,512,1,0.008,512,cpu,56.64639873234033,0.9996700418346887,1.1102230246251565e-16,0.00019758755539502244,0.0001656088159794582
7,512,1,0.009,512,cpu,56.66777843689467,0.9994763289961011,1.1102230246251565e-16,0.00025105983243323615,0.0001916840462881195
7,512,1,0.01,512,cpu,,,2.440778458745933e-16,0.0004947595725254972,0.0002765607316799431
7,512,1,0.0125,512,cpu,56.71368492072155,0.9981265557284454,2.220446049250313e-16,0.0011174020844994124,0.0005587149589563586
7,512,1,0.015,512,cpu,76.97718067784926,0.9962447993754336,1.949376672608503e-14,0.003011157624922974,0.0011555991073670798
7,512,1,0.0175,512,cpu,56.81973962464584,0.9933014756812338,3.3306690738754696e-16,0.009535334145846543,0.0022004480687284646
7,512,1,0.02,512,cpu,,,2.220446049250313e-16,0.022858409835375005,0.0027532709481471775
7,512,1,0.0225,512,cpu,56.59012593534484,0.9830129090077298,1.1102230246251565e-16,0.03961770730237732,0.007193239316542532
7,512,1,0.025,512,cpu,56.40128156563992,0.9750126431706213,1.1102230246251565e-16,0.07147943879931261,0.009452454317904868
7,512,1,0.0275,512,cpu,56.40425673980593,0.9649870368876707,2.220446049250313e-16,0.11060936254653304,0.006647212455995949
7,512,1,0.03,512,cpu,56.58490299719402,0.9526065826380173,2.220446049250313e-16,0.1560363925873122,0.005465978763056295
7,512,1,0.04,512,cpu,56.37534590775799,0.8769582213340279,2.220446049250313e-16,0.3563192797374402,0.01239319498151853
7,512,1,0.05,512,cpu,56.488220317426574,0.7667576031115183,0.0,0.4593671204233567,0.012950619886349934
7,512,1,0.06,512,cpu,56.17006236633452,0.6212474695666177,1.1102230246251565e-16,0.49064791972236016,0.012902868391514166
