d,bd,repetitions,p_err,max_bd,device,sample_time_avg,fidelity_avg,fidelity_std,p_fail,delta_p_fail
3,1024,3,0.003,16,cpu,0.14373323307037353,1.0,0.0,0.000889629561139573,0.00038217481903062467
3,1024,3,0.004,16,cpu,0.14473037000894545,1.0,0.0,0.001772806079060149,0.0005435444316937445
3,1024,3,0.005,16,cpu,0.15590754057765008,1.0,0.0,0.003266039895603847,0.0007313960060252307
3,1024,3,0.006,16,cpu,0.1424459427833557,1.0,0.0,0.005515875251737806,0.0009563935329541754
3,1024,3,0.007,16,cpu,0.14281855270266533,1.0,0.0,0.00994111617743536,0.0012813284311380454
3,1024,3,0.008,16,cpu,0.14956879529356956,1.0,0.0,0.012766387633659138,0.0014438601611165298
3,1024,3,0.009,16,cpu,0.1454245111167431,1.0,0.0,0.018493862591807797,0.00174633030097043
3,1024,3,0.01,16,cpu,0.1489129221379757,1.0,0.0,0.025793659360187786,0.002045633238260125
3,1024,3,0.0125,16,cpu,0.14302824671268463,1.0,0.0,0.0511520267446709,0.005708490371911332
3,1024,3,0.015,16,cpu,0.1402565284252167,1.0,0.0,0.08362446062596181,0.007125905801639368
3,1024,3,0.02,16,cpu,0.14929978240132333,1.0,0.0,0.16733987799407746,0.004812687205851318
3,1024,3,0.03,16,cpu,0.14191791036128998,1.0,0.0,0.3486954155831299,0.006137686292992994
3,1024,3,0.05,16,cpu,0.14299191495776176,1.0,0.0,0.4941498215324702,0.006450196805814379
5,1024,5,0.003,256,cpu,19.870776233976414,1.0,0.0,0.00029372458972750303,0.000245860373003286
5,1024,5,0.004,256,cpu,19.087012007049655,1.0,0.0,0.0005978654287463203,0.00036000884746446686
5,1024,5,0.005,256,cpu,19.26963528366657,1.0,0.0,0.0012082656859114453,0.0005317885499664082
5,1024,5,0.006,256,cpu,20.04763690981394,1.0,0.0,0.0031398687418616083,0.0009394085090865768
5,1024,5,0.007,256,cpu,19.98175217167225,1.0,0.0,0.006319343102822514,0.001689459014467343
5,1024,5,0.008,256,cpu,20.043460557077356,1.0,0.0,0.011504266157531327,0.002337671513124223
5,1024,5,0.009,256,cpu,20.973237876064168,1.0,0.0,0.019971177995664797,0.003057994707610836
5,1024,5,0.01,256,cpu,21.533245261134045,1.0,0.0,0.03024562965143944,0.0038010248652508988
5,1024,5,0.0125,256,cpu,18.969277163645774,1.0,0.0,0.08309138879094372,0.01057663153657007
5,1024,5,0.015,256,cpu,19.208466226365402,1.0,0.0,0.16328720942108566,0.007148559396735088
5,1024,5,0.02,256,cpu,19.94554857531977,1.0,0.0,0.35047881731876046,0.01195224328639205
5,1024,5,0.03,256,cpu,19.99418430938551,1.0,0.0,0.4972575846571926,0.012822689671932896
5,1024,5,0.04,256,cpu,20.27705644101455,1.0,0.0,0.5027242220705506,0.014035660390430138
5,1024,5,0.05,256,cpu,19.840553127793836,1.0,0.0,0.5004635655086846,0.01390695952759835
