d,nfails,nsamples,pnoise
# info 2025-07-28 20:27:36.633349
3,241,100000,0.001
# info 2025-07-28 20:27:43.544219
5,16,100000,0.001
# info 2025-07-28 20:28:22.650720
7,16,1000000,0.001
# info 2025-07-28 20:29:51.651728
3,5576,1000000,0.002
# info 2025-07-28 20:29:45.515283
5,789,1000000,0.002
# info 2025-07-28 20:29:38.081998
7,150,1000000,0.002
# info 2025-07-28 20:39:50.439388
7,1181,1000000,0.004
# info 2025-07-28 20:39:59.045709
5,3778,1000000,0.004
# info 2025-07-28 20:40:07.418752
3,13913,1000000,0.004
